Iteration,Timesteps,Evaluation_score
0,1084618,709.4283138325161
1,5972813,712.5410694378955
2,9392727,717.8937148774734
3,13091423,728.8433636585911
4,16145024,730.9152019704202
5,19277167,731.0145724822172
6,22646523,731.9188348806804
7,26085555,729.6104534061049
8,28682068,733.2959870699045
9,31125055,740.7988470681155
10,33933576,736.0987958397494
11,37071890,729.8511876457596
12,40494218,728.500021851888
13,44131457,732.9061271284114
14,47182197,735.3432663587816
15,49592433,727.0621168936766
16,52381930,725.5508400883418
17,55107596,709.4946200934451
18,58258092,710.2938987697377
19,61276567,717.7765676677686
20,63827668,698.4668465993215
21,66309267,699.08159225038
22,69438777,680.9242188910864
23,72412718,667.2484103684553
24,75195595,647.0164633626276
25,77717550,610.0439752412851
26,80296195,581.3604387383365
27,82498862,532.7031746774737
28,84437238,506.4879216731172
29,86920877,466.97981681274103
30,89515158,458.49100474389826
31,91862172,406.0011703070165
32,94120573,381.0688583073176
33,96348486,363.64704214675095
34,98831802,338.1214911331282
35,101240809,358.28902551413415
36,103680980,306.49621788371627
37,105624335,288.99467323030626
38,107798663,300.0488743474188
39,110269023,290.7884729585652
40,112762848,324.08876491720855
41,115345542,314.01333026339125
42,117193564,327.1975231348271
43,119474623,383.2153767894971
44,121660371,359.33327846575696
45,124138451,382.3510425857203
46,126237466,419.75537274550726
47,128802209,332.60812919154336
48,130611706,273.56690096095656
49,132943084,266.27237163293773
50,135336252,353.68971004668435
51,137404089,296.54239994885324
52,139333641,294.7778320863309
53,142190899,368.3760386236189
54,143924884,255.23896427435608
55,145584363,359.494516314867
56,148337851,313.0836889546677
57,150376217,439.61047656159144
58,152122573,354.34856945693423
59,154540537,256.3362014937598
60,156441408,417.3616520517809
61,158481879,363.27829831693464
62,160516681,446.7606010468113
63,162368090,495.2367665496337
64,164762621,345.991832611414
65,166710875,433.7950600469142
66,168981510,426.6044886000245
67,170966673,365.42900274249945
68,173237678,416.8801783494797
69,175703440,386.915351639219
70,178058131,493.64257320442846
71,180341944,387.589824865076
72,182640363,369.42765100418814
73,185324356,393.74405166792724
74,187140618,448.1753921110846
75,189170611,306.4724664317329
76,190740094,198.49933873647734
77,192804428,327.2601588042977
78,194896075,304.7554275128227
79,196636173,282.0827426923087
80,198354902,298.8446731970463
81,200023832,257.77593691953587
82,202346666,220.2712445251462
83,205289254,256.08731005895277
84,207345319,307.2996355114478
85,209175598,305.14994663285927
86,211461045,262.0230305910776
87,213984724,190.8917589936903
88,215453646,200.01915597832968
89,217425943,260.69891845523983
90,219530601,232.1914478186183
91,221417452,347.1351739966789
92,222672435,151.60429609034108
93,224084513,135.06750926162823
94,225834007,91.71375427390494
95,227865305,176.02148307804234
96,230121907,113.57933652444459
97,231673704,289.2788247619728
98,233650561,198.47004904581908
99,236064066,131.71366029157167
100,237593505,149.5801089336631
101,239368441,156.7140931254201
102,241049663,176.1626294978978
103,243268579,126.58703112162178
104,244708879,76.35504574166895
105,247070394,240.40741036853683
106,249470626,146.81486239587383
107,250911442,99.9956816107863
108,252529855,134.73083908587742
109,254353215,156.66357577957876
110,256284808,73.23542035416664
111,257602416,121.09923671253819
112,259289870,131.56757282263476
113,260599688,141.44534656778237
114,262373511,147.20730046921568
115,264319756,243.2997289411544
116,265951217,128.0226726283966
117,267370338,80.72713297116547
118,269386091,139.95279446928402
119,271311532,79.35470448452563
120,273140276,63.95266368227202
121,275106228,223.7737150404771
122,277066548,162.58861466905842
123,278814890,64.31345107971075
124,280671259,121.31286197235849
125,282272613,253.99823955307164
126,284059748,230.22268077602925
127,285627209,143.6696356029024
128,287179555,170.5934577693844
129,288695240,186.72843893981968
130,291014230,254.70051528750827
131,292760800,244.49420935193038
132,294350051,54.307640945066886
133,296251034,184.20935408152056
134,298026379,136.68368127701476
135,300243677,216.48143070482053
136,302135023,198.87081476392106
137,303365276,36.731168090704095
138,305054137,103.94630018145342
139,306995992,133.02288158772916
140,308700099,79.68799865045655
141,310507403,108.02866273458794
142,312045711,112.24699927529313
143,313696854,112.27094447947486
144,315307484,117.0711444628935
145,317214113,165.61646820715686
146,319817815,32.43636836690927
147,321635645,102.29606510392873
148,323204568,170.90298472503756
149,324476181,80.79615663342021
150,326750908,106.58089479499372
151,328657843,157.9695120753042
152,330859210,53.98226021061445
153,332335636,62.20974834273751
154,333901279,55.82365221839815
155,335271941,113.8794560390365
156,336619584,81.55194662840806
157,338164935,157.72791539724764
158,339501374,83.0966024968163
159,340782831,90.11664300434225
160,342179144,19.497331664481074
161,343829664,73.69772638255748
162,345589505,101.37692280312226
163,347198197,45.710208772700824
164,348553803,127.70460583959405
165,350244047,69.99809273367373
166,352012704,126.52279969381486
167,353120364,33.45549936738476
168,355383516,34.40967209820339
169,357166914,29.040862038840153
170,358647455,79.18930356778536
171,360596460,132.12906638298966
172,362638274,25.529025898533764
173,364890014,26.540243559738524
174,366617461,37.39226711765208
175,368186337,110.93568137080281
176,370137890,150.24006400475406
177,371442357,59.722844519586296
178,373183877,63.56086356177319
179,375424403,40.82579558082589
180,377263411,17.053658552488404
181,379306212,155.13182669367785
182,380826116,64.59106363578046
183,382319912,86.47360453876044
184,383893760,7.218540251773762
185,386027859,44.546524541138965
186,387757668,71.55517138042778
187,389455310,93.29769532989198
188,391072640,69.04594747560233
189,392667094,128.75363041590413
190,394534615,26.04388645851739
191,396368951,96.85205566777749
192,397921929,22.882686191954626
193,399667325,22.342785512265902
194,401656957,100.43632444792543
195,403337378,50.83775560312128
196,404789241,69.57148707242308
197,406687120,17.47470404392055
198,408284052,59.1565026447782
199,409829460,73.55599855959436
200,411188346,63.76434364957504
201,412487302,85.54890793143576
202,413752250,95.95964567834136
203,415285930,12.209932376087506
204,416794055,80.79885452774411
205,418488539,23.903143224612002
206,419865825,75.31401968458877
207,421241761,35.71205149871584
208,423323161,71.2576925944882
209,425264103,73.12929796044811
210,426618743,84.23199662276538
211,428551562,48.90229696790431
212,430687721,45.13531568202254
213,432223536,34.66957348561393
214,433731719,46.59587662213194
215,436201572,12.109043862062181
216,437612712,91.70569689335532
217,439351590,86.23038047316354
218,441095958,117.88605778420671
219,442802844,57.49758151377794
220,444042058,78.62507481647307
221,445682887,103.6491261551597
222,447361728,18.641659780651615
223,448871817,24.12614201019313
224,450679336,57.266902470907816
225,452191108,47.14362668798446
226,454280540,42.56619062676556
227,455404128,39.97809123795672
228,457144306,125.02825321415662
229,459082338,79.79552226100319
230,460823240,10.594002857176795
231,463107691,66.61159032216888
232,464868451,44.91464460738346
233,466132115,10.742665496099516
234,468135860,38.094618006845636
235,469172374,53.71161371298821
236,470217132,21.245310742580717
237,471847762,45.58899800018292
238,473325307,107.36301922617584
239,474979625,54.18619829794642
240,476705587,77.84062326896587
241,478047782,52.76791260184158
242,479279787,80.90665122799646
243,480416567,42.81398055625648
244,481801450,90.57200624947319
245,483101977,78.18628376373408
246,484749800,120.06463428292639
247,486575752,31.93999675310797
248,487957948,44.86075071435379
249,489200872,40.97338534611019
250,490793296,54.77398446795296
251,491911231,62.23626723207874
252,493515972,45.93550825169901
253,494963575,16.613788240706274
254,497171181,67.06714994330386
255,498670045,93.92609595891801
256,500184889,61.74962498432001
257,501762553,37.41316971892694
